,,,humanAnnotator,TaxonID,class,scientificName,documentType,urls,NOTES,Residential & Commerial Development,Agriculture & Aquaculture,Energy Producting & Mining,Transportation & Service Corridors,Biological Resource Use,Human Intrusions & Disturbance,Natural System Modifcations,Invasive & Other Problematic Species & Genes,Pollution,Geological Events,Climate Change & Severe Weather,Limiting/Intrinsic Population Factors,DISEASE?
9.4,Garbage & solid waste,,Ann Marie,8996,Gastropoda,Pyrgulopsis sathos,SpeciesStatusAssessmentURLs,https://ecos.fws.gov/ServCat/DownloadFile/133012,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
9.5,Air-borne pollutants,,Vaughn,7881,Insecta,Euproserpinus euterpe,CriticalHabitatDesignationURLs,https://www.govinfo.gov/link/fr/43/28938?link-type=pdf,,,,,,,,,,,,,,
9.6,Excess energy,,Jayme,9887,Bivalvia,Pleuronaia barnesiana,SpeciesStatusAssessmentURLs,https://ecos.fws.gov/ServCat/DownloadFile/235649,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
10,Geological events,,Melissa,6942,Insecta,Rhadine exilis,ReviewURLs,https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1789.pdf,"NO THREATS LISTED, IT SAID TO LOOK AT RECOVERY PLAN FOR THREATS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1,Volcanoes,,Ann Marie,1142,Gastropoda,Erinna newcombi,ReviewURLs,https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2408.pdf,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
10.2,Earthquakes/tsunamis,,Vaughn,674,Insecta,Pseudocopaeodes eunus obscurus,ReviewURLs,https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1946.pdf,,,,,,,,,,,,,,
10.3,Avalanches/landslides,,Jayme,2319,Insecta,Elaphrus viridis,ReviewURLs,https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1327.pdf,,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
11,Climate change & severe weather,,Melissa,6636,Bivalvia,Lemiox rimosus,ReviewURLs,https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2161.pdf,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
11.1,Habitat shifting & alteration,,Ann Marie,7869,Bivalvia,Lampsilis streckeri,ReviewURLs,https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2249.pdf,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
11.2,Droughts,,Vaughn,2467,Euchelicerata,Cicurina madla,ReviewURLs,https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2809.pdf,,,,,,,,,,,,,,
11.3,Temperature extremes,,Jayme,2574,Bivalvia,Amblema neislerii,RecoveryPlanURLs,https://ecos.fws.gov/docs/recovery_plan/030930.pdf,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
11.4,Storms & flooding,,Melissa,2309,Gastropoda,Helminthoglypta walkeriana,RecoveryPlanURLs,https://ecos.fws.gov/docs/recovery_plan/980928e.pdf,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
11.5,Other impacts,,Ann Marie,6999,Bivalvia,Theliderma intermedia,ReviewURLs,https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/3236.pdf,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
,,,Vaughn,3982,Insecta,Polyphylla barbata,ReviewURLs,https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/958.pdf,,,,,,,,,,,,,,
,,,Jayme,674,Insecta,Pseudocopaeodes eunus obscurus,RecoveryPlanURLs,https://ecos.fws.gov/docs/recovery_plan/070913b.pdf,,,,,,,,,,,,,,
,,,Melissa,5052,Gastropoda,Elimia crenatella,ReviewURLs,https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/4028.pdf,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
,,,Ann Marie,5430,Bivalvia,Pleurobema perovatum,ReviewURLs,https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1314.pdf,"Mentioned dams but no clear link to energy production, so only natural system mod was marked",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,
,,,Vaughn,3982,Insecta,Polyphylla barbata,RecoveryPlanURLs,https://ecos.fws.gov/docs/recovery_plan/980928a.pdf,,,,,,,,,,,,,,
,,,Jayme,2780,Bivalvia,Potamilus capax,ReviewURLs,https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2927.pdf,,,,,,,,,,,,,,
,,,Melissa,10233,Bivalvia,Pleurobema riddellii,CriticalHabitatDesignationURLs,https://www.govinfo.gov/link/fr/88/16776,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
,,,Ann Marie,1520,Bivalvia,Pleurobema georgianum,RecoveryPlanURLs,https://ecos.fws.gov/docs/recovery_plan/001117.pdf,"Listed major threats to waterways, as this doc is for multiple species. For species in particular, runoff from housing and ag were mentioned, those two threats were marked true.",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
,,,Vaughn,8535,Insecta,Glaucopsyche lygdamus palosverdesensis,ReviewURLs,https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/986.pdf,,,,,,,,,,,,,,
,,,Jayme,1518,Bivalvia,Pleuronaia dolabelloides,CriticalHabitatDesignationURLs,https://www.govinfo.gov/link/fr/78/59555?link-type=pdf,,Link doesn't work,,,,,,,,,,,,
,,,Melissa,7545,Gastropoda,Pyrgulopsis erythropoma,SpeciesStatusAssessmentURLs,https://ecos.fws.gov/ServCat/DownloadFile/204770,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
,,,Ann Marie,10761,Malacostraca,Faxonius quadruncus,RecoveryPlanURLs,https://ecos.fws.gov/docs/recovery_plan/Recovery Outline-Big Creek Crayfish and St. Francis River Crayfish 8-15-23_signed.pdf,Document very focused on two main threats: heavy metal contamination and dispacement by invasive crayfish.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
,,,Vaughn,5430,Bivalvia,Pleurobema perovatum,ReviewURLs,https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2856.pdf,,,,,,,,,,,,,,
,,,Jayme,4511,Bivalvia,Elliptio lanceolata,SpeciesStatusAssessmentURLs,https://ecos.fws.gov/ServCat/DownloadFile/138974,,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
,,,Melissa,676,Euchelicerata,Texella cokendolpheri,CriticalHabitatDesignationURLs,https://www.govinfo.gov/link/fr/77/8450?link-type=pdf,,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,Ann Marie,8042,Malacostraca,Gammarus desperatus,RecoveryPlanURLs,https://ecos.fws.gov/docs/recovery_plan/Final Recovery Plan Four Invertebrates of Pecos River Valley_1.pdf,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
,,,Vaughn,2564,Insecta,Ambrysus amargosus,CriticalHabitatDesignationURLs,https://www.govinfo.gov/link/fr/50/20777?link-type=pdf,,,,,,,,,,,,,,
,,,Jayme,929,Insecta,Hesperia leonardus montana,RecoveryPlanURLs,https://ecos.fws.gov/docs/recovery_plan/980921.pdf,,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
,,,Melissa,3788,Bivalvia,Lampsilis rafinesqueana,RecoveryPlanURLs,https://ecos.fws.gov/docs/recovery_plan/Neosho Mucket Recovery Plan.pdf,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
,,,Ann Marie,464,Gastropoda,Triodopsis platysayoides,ReviewURLs,https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1130.pdf,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,Vaughn,1142,Gastropoda,Erinna newcombi,CriticalHabitatDesignationURLs,https://www.govinfo.gov/link/fr/67/54026?link-type=pdf,,,,,,,,,,,,,,
,,,Jayme,2806,Gastropoda,Pyrgulopsis neomexicana,ReviewURLs,https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/3018.pdf,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
,,,Melissa,3788,Bivalvia,Lampsilis rafinesqueana,CriticalHabitatDesignationURLs,https://www.govinfo.gov/link/fr/80/24692?link-type=pdf,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
,,,Ann Marie,2319,Insecta,Elaphrus viridis,ReviewURLs,https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/3247.pdf,,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
,,,Vaughn,7660,Bivalvia,Elliptoideus sloatianus,ReviewURLs,https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1076.pdf,,,,,,,,,,,,,,
,,,Jayme,4511,Bivalvia,Elliptio lanceolata,SpeciesStatusAssessmentURLs,https://ecos.fws.gov/ServCat/DownloadFile/129050,,This is a duplicate; see row 71,,,,,,,,,,,,
,,,Melissa,4511,Bivalvia,Elliptio lanceolata,SpeciesStatusAssessmentURLs,https://ecos.fws.gov/ServCat/DownloadFile/189393,,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
,,,Ann Marie,3403,Insecta,Heterelmis comalensis,CriticalHabitatDesignationURLs,https://www.govinfo.gov/link/fr/78/63100?link-type=pdf,Primary threat is potential failure of spring flow due to drought or groundwater pumping.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
,,,Vaughn,5602,Bivalvia,Epioblasma obliquata,ReviewURLs,https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2963.pdf,,,,,,,,,,,,,,
,,,Jayme,2361,Euchelicerata,Cicurina baronia,ReviewURLs,https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/3094.pdf,,,,,,,,,,,,,,
,,,Melissa,5897,Insecta,Megalagrion leptodemas,CriticalHabitatDesignationURLs,https://www.govinfo.gov/link/fr/77/57647?link-type=pdf,THIS LINK DOES NOT WORK,,,,,,,,,,,,,
,,,Ann Marie,533,Bivalvia,Medionidus walkeri,RecoveryPlanURLs,https://ecos.fws.gov/docs/recovery_plan/2016.12.16_recovery_outline_suwannee_mocc.pdf,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
,,,Vaughn,212,Insecta,Drosophila aglaia,ReviewURLs,https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2006.pdf,,,,,,,,,,,,,,
,,,Jayme,7850,Insecta,Desmocerus californicus dimorphus,CriticalHabitatDesignationURLs,https://www.govinfo.gov/link/fr/45/52803?link-type=pdf,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,Melissa,8062,Insecta,Neonympha mitchellii mitchellii,ReviewURLs,https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2218.pdf,,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
,,,Ann Marie,5039,Bivalvia,Alasmidonta raveneliana,ReviewURLs,https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/3854.pdf,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
,,,Vaughn,317,Bivalvia,Epioblasma metastriata,ReviewURLs,https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2684.pdf,,,,,,,,,,,,,,
,,,Jayme,5307,Malacostraca,Palaemonias alabamae,ReviewURLs,https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1007.pdf,,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
,,,Melissa,1546,Insecta,Euphydryas anicia cloudcrofti,RecoveryPlanURLs,https://ecos.fws.gov/docs/recovery_plan/Sacramento Mountains Checkerspot_Recovery Outline_27Feb2023_ARD Signed.pdf,"Primary Threats As summarized in more detail in the assessment report, we focused our analysis of the Sacramento Mountains checkerspot butterfly’s viability on five primary and several secondary factors.  Primary factors include altered wildfire regimes, climate change, incompatible grazing, invasive plants, and recreation.  Secondary factors include collection, disease, parasites and 2023 Recovery Outline for the Sacramento Mountains Checkerspot Butterfly 7 predation, insecticide application, anthropogenic development and ungulate grazing. ",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
,,,Ann Marie,5008,Malacostraca,Palaemonias ganteri,ReviewURLs,https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2593.pdf,Traffic accidents and train derailments spilling toxicants have been major threats!,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
,,,Vaughn,5008,Malacostraca,Palaemonias ganteri,ReviewURLs,https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/3698.pdf,,,,,,,,,,,,,,
,,,Jayme,8148,Branchiopoda,Streptocephalus woottoni,RecoveryPlanURLs,https://ecos.fws.gov/docs/recovery_plan/Vernal Pools of Southern California Clarification.pdf,,Couldn't do this one as there was nothing about threats,,,,,,,,,,,,
,,,Melissa,9879,Bivalvia,Obovaria subrotunda,SpeciesStatusAssessmentURLs,https://ecos.fws.gov/ServCat/DownloadFile/185478,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
,,,Ann Marie,7173,Insecta,Hylaeus anthracinus,RecoveryPlanURLs,https://ecos.fws.gov/docs/recovery_plan/Hawaiian_Archipelago_Recovery_Plan_20221214.pdf,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE