"","TaxonID","class","scientificName","documentType","urls"
"1",1546,"Insecta","Euphydryas anicia cloudcrofti","CriticalHabitatDesignationURLs","https://www.govinfo.gov/link/fr/88/54263"
"2",1397,"Bivalvia","Ptychobranchus subtentus","RecoveryPlanURLs","https://ecos.fws.gov/docs/recovery_plan/Fluted Kidneyshell_Final RP.pdf"
"3",9879,"Bivalvia","Obovaria subrotunda","CriticalHabitatDesignationURLs","https://www.govinfo.gov/link/fr/88/14794"
"4",317,"Bivalvia","Epioblasma metastriata","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1314.pdf"
"5",6944,"Malacostraca","Procaris hawaiana","RecoveryPlanURLs","https://ecos.fws.gov/docs/recovery_plan/Hawaiian_Archipelago_Recovery_Plan_20221214.pdf"
"6",8083,"Bivalvia","Medionidus simpsonianus","RecoveryPlanURLs","https://ecos.fws.gov/docs/recovery_plan/Ochlockonee Moccasinshell Recovery Plan Amendment_1.pdf"
"7",9815,"Malacostraca","Faxonius eupunctus","SpeciesStatusAssessmentURLs","https://ecos.fws.gov/ServCat/DownloadFile/163713"
"8",4780,"Gastropoda","Taylorconcha serpenticola","RecoveryPlanURLs","https://ecos.fws.gov/docs/recovery_plan/951126.pdf"
"9",7867,"Bivalvia","Cumberlandia monodonta","SpeciesStatusAssessmentURLs","https://ecos.fws.gov/ServCat/DownloadFile/224411"
"10",5011,"Malacostraca","Cambarus aculabrum","RecoveryPlanURLs","https://ecos.fws.gov/docs/recovery_plan/Cave Crayfish Recovery Plan Amendment.pdf"
"11",464,"Gastropoda","Triodopsis platysayoides","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2768.pdf"
"12",2575,"Bivalvia","Medionidus parvulus","RecoveryPlanURLs","https://ecos.fws.gov/docs/recovery_plan/Coosa moccasinshell and Southern pigtoe Recovery Plan Amendment_2.pdf"
"13",8469,"Bivalvia","Epioblasma othcaloogensis","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1314.pdf"
"14",3140,"Insecta","Texamaurops reddelli","RecoveryPlanURLs","https://ecos.fws.gov/docs/recovery_plan/940825.pdf"
"15",1520,"Bivalvia","Pleurobema georgianum","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2855.pdf"
"16",5665,"Malacostraca","Vetericaris chaceorum","CriticalHabitatDesignationURLs","https://www.govinfo.gov/link/fr/88/18756"
"17",7663,"Bivalvia","Medionidus penicillatus","CriticalHabitatDesignationURLs","https://www.govinfo.gov/link/fr/72/64286?link-type=pdf"
"18",6929,"Insecta","Speyeria zerene myrtleae","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1337.pdf"
"19",4779,"Gastropoda","Tryonia cheatumi","CriticalHabitatDesignationURLs","https://www.govinfo.gov/link/fr/78/40970?link-type=pdf"
"20",3394,"Insecta","Callophrys mossii bayensis","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/956.pdf"
"21",7287,"Bivalvia","Medionidus acutissimus","CriticalHabitatDesignationURLs","https://www.govinfo.gov/link/fr/69/40084?link-type=pdf"
"22",1028,"Insecta","Hesperia dacotae","SpeciesStatusAssessmentURLs","https://ecos.fws.gov/ServCat/DownloadFile/155865"
"23",1142,"Gastropoda","Erinna newcombi","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/3813.pdf"
"24",4382,"Insecta","Apodemia mormo langei","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1250.pdf"
"25",3057,"Insecta","Optioservus phaeus","SpeciesStatusAssessmentURLs","https://ecos.fws.gov/ServCat/DownloadFile/169759"
"26",298,"Bivalvia","Pleurobema taitianum","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2332.pdf"
"27",9002,"Gastropoda","Pyrgulopsis turbatrix","SpeciesStatusAssessmentURLs","https://ecos.fws.gov/ServCat/DownloadFile/204767"
"28",66,"Insecta","Nicrophorus americanus","SpeciesStatusAssessmentURLs","https://ecos.fws.gov/ServCat/DownloadFile/165011"
"29",1248,"Bivalvia","Alasmidonta atropurpurea","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1037.pdf"
"30",8105,"Insecta","Habroscelimorpha dorsalis dorsalis","RecoveryPlanURLs","https://ecos.fws.gov/docs/recovery_plan/940929b.pdf"
"31",6219,"Gastropoda","Antrobia culveri","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2676.pdf"
"32",5665,"Malacostraca","Vetericaris chaceorum","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/3015.pdf"
"33",2467,"Euchelicerata","Cicurina madla","RecoveryPlanURLs","https://ecos.fws.gov/docs/recovery_plan/Final 2001 Bexar Co Invertebrates Rec Plan_1.pdf"
"34",7869,"Bivalvia","Lampsilis streckeri","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1036.pdf"
"35",2246,"Branchiopoda","Lepidurus packardi","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1126.pdf"
"36",7022,"Insecta","Bombus franklini","SpeciesStatusAssessmentURLs","https://ecos.fws.gov/ServCat/DownloadFile/164615"
"37",4290,"Malacostraca","Gammarus pecos","SpeciesStatusAssessmentURLs","https://ecos.fws.gov/ServCat/DownloadFile/214610"
"38",3779,"Insecta","Speyeria callippe callippe","SpeciesStatusAssessmentURLs","https://ecos.fws.gov/ServCat/DownloadFile/173309"
"39",1028,"Insecta","Hesperia dacotae","RecoveryPlanURLs","https://ecos.fws.gov/docs/recovery_plan/Dakota Skipper Final Recovery Plan_28September2021_508.pdf"
"40",4693,"Bivalvia","Pleurobema athearni","RecoveryPlanURLs","https://ecos.fws.gov/docs/recovery_plan/20230731_Recovery Outline_CanoeCreekClubshell.signed.pdf"
"41",3398,"Insecta","Hylaeus assimulans","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/3294.pdf"
"42",4396,"Bivalvia","Ptychobranchus greenii","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2857.pdf"
"43",2573,"Bivalvia","Fusconaia cor","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2137.pdf"
"44",8996,"Gastropoda","Pyrgulopsis sathos","SpeciesStatusAssessmentURLs","https://ecos.fws.gov/ServCat/DownloadFile/133012"
"45",7881,"Insecta","Euproserpinus euterpe","CriticalHabitatDesignationURLs","https://www.govinfo.gov/link/fr/43/28938?link-type=pdf"
"46",9887,"Bivalvia","Pleuronaia barnesiana","SpeciesStatusAssessmentURLs","https://ecos.fws.gov/ServCat/DownloadFile/235649"
"47",6942,"Insecta","Rhadine exilis","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1789.pdf"
"48",1142,"Gastropoda","Erinna newcombi","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2408.pdf"
"49",674,"Insecta","Pseudocopaeodes eunus obscurus","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1946.pdf"
"50",2319,"Insecta","Elaphrus viridis","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1327.pdf"
"51",6636,"Bivalvia","Lemiox rimosus","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2161.pdf"
"52",7869,"Bivalvia","Lampsilis streckeri","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2249.pdf"
"53",2467,"Euchelicerata","Cicurina madla","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2809.pdf"
"54",2574,"Bivalvia","Amblema neislerii","RecoveryPlanURLs","https://ecos.fws.gov/docs/recovery_plan/030930.pdf"
"55",2309,"Gastropoda","Helminthoglypta walkeriana","RecoveryPlanURLs","https://ecos.fws.gov/docs/recovery_plan/980928e.pdf"
"56",6999,"Bivalvia","Theliderma intermedia","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/3236.pdf"
"57",3982,"Insecta","Polyphylla barbata","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/958.pdf"
"58",674,"Insecta","Pseudocopaeodes eunus obscurus","RecoveryPlanURLs","https://ecos.fws.gov/docs/recovery_plan/070913b.pdf"
"59",5052,"Gastropoda","Elimia crenatella","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/4028.pdf"
"60",5430,"Bivalvia","Pleurobema perovatum","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1314.pdf"
"61",3982,"Insecta","Polyphylla barbata","RecoveryPlanURLs","https://ecos.fws.gov/docs/recovery_plan/980928a.pdf"
"62",2780,"Bivalvia","Potamilus capax","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2927.pdf"
"63",10233,"Bivalvia","Pleurobema riddellii","CriticalHabitatDesignationURLs","https://www.govinfo.gov/link/fr/88/16776"
"64",1520,"Bivalvia","Pleurobema georgianum","RecoveryPlanURLs","https://ecos.fws.gov/docs/recovery_plan/001117.pdf"
"65",8535,"Insecta","Glaucopsyche lygdamus palosverdesensis","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/986.pdf"
"66",1518,"Bivalvia","Pleuronaia dolabelloides","CriticalHabitatDesignationURLs","https://www.govinfo.gov/link/fr/78/59555?link-type=pdf"
"67",7545,"Gastropoda","Pyrgulopsis erythropoma","SpeciesStatusAssessmentURLs","https://ecos.fws.gov/ServCat/DownloadFile/204770"
"68",10761,"Malacostraca","Faxonius quadruncus","RecoveryPlanURLs","https://ecos.fws.gov/docs/recovery_plan/Recovery Outline-Big Creek Crayfish and St. Francis River Crayfish 8-15-23_signed.pdf"
"69",5430,"Bivalvia","Pleurobema perovatum","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2856.pdf"
"70",4511,"Bivalvia","Elliptio lanceolata","SpeciesStatusAssessmentURLs","https://ecos.fws.gov/ServCat/DownloadFile/138974"
"71",676,"Euchelicerata","Texella cokendolpheri","CriticalHabitatDesignationURLs","https://www.govinfo.gov/link/fr/77/8450?link-type=pdf"
"72",8042,"Malacostraca","Gammarus desperatus","RecoveryPlanURLs","https://ecos.fws.gov/docs/recovery_plan/Final Recovery Plan Four Invertebrates of Pecos River Valley_1.pdf"
"73",2564,"Insecta","Ambrysus amargosus","CriticalHabitatDesignationURLs","https://www.govinfo.gov/link/fr/50/20777?link-type=pdf"
"74",929,"Insecta","Hesperia leonardus montana","RecoveryPlanURLs","https://ecos.fws.gov/docs/recovery_plan/980921.pdf"
"75",3788,"Bivalvia","Lampsilis rafinesqueana","RecoveryPlanURLs","https://ecos.fws.gov/docs/recovery_plan/Neosho Mucket Recovery Plan.pdf"
"76",464,"Gastropoda","Triodopsis platysayoides","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1130.pdf"
"77",1142,"Gastropoda","Erinna newcombi","CriticalHabitatDesignationURLs","https://www.govinfo.gov/link/fr/67/54026?link-type=pdf"
"78",2806,"Gastropoda","Pyrgulopsis neomexicana","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/3018.pdf"
"79",3788,"Bivalvia","Lampsilis rafinesqueana","CriticalHabitatDesignationURLs","https://www.govinfo.gov/link/fr/80/24692?link-type=pdf"
"80",2319,"Insecta","Elaphrus viridis","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/3247.pdf"
"81",7660,"Bivalvia","Elliptoideus sloatianus","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1076.pdf"
"82",4511,"Bivalvia","Elliptio lanceolata","SpeciesStatusAssessmentURLs","https://ecos.fws.gov/ServCat/DownloadFile/129050"
"83",4511,"Bivalvia","Elliptio lanceolata","SpeciesStatusAssessmentURLs","https://ecos.fws.gov/ServCat/DownloadFile/189393"
"84",3403,"Insecta","Heterelmis comalensis","CriticalHabitatDesignationURLs","https://www.govinfo.gov/link/fr/78/63100?link-type=pdf"
"85",5602,"Bivalvia","Epioblasma obliquata","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2963.pdf"
"86",2361,"Euchelicerata","Cicurina baronia","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/3094.pdf"
"87",5897,"Insecta","Megalagrion leptodemas","CriticalHabitatDesignationURLs","https://www.govinfo.gov/link/fr/77/57647?link-type=pdf"
"88",533,"Bivalvia","Medionidus walkeri","RecoveryPlanURLs","https://ecos.fws.gov/docs/recovery_plan/2016.12.16_recovery_outline_suwannee_mocc.pdf"
"89",212,"Insecta","Drosophila aglaia","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2006.pdf"
"90",7850,"Insecta","Desmocerus californicus dimorphus","CriticalHabitatDesignationURLs","https://www.govinfo.gov/link/fr/45/52803?link-type=pdf"
"91",8062,"Insecta","Neonympha mitchellii mitchellii","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2218.pdf"
"92",5039,"Bivalvia","Alasmidonta raveneliana","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/3854.pdf"
"93",317,"Bivalvia","Epioblasma metastriata","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2684.pdf"
"94",5307,"Malacostraca","Palaemonias alabamae","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1007.pdf"
"95",1546,"Insecta","Euphydryas anicia cloudcrofti","RecoveryPlanURLs","https://ecos.fws.gov/docs/recovery_plan/Sacramento Mountains Checkerspot_Recovery Outline_27Feb2023_ARD Signed.pdf"
"96",5008,"Malacostraca","Palaemonias ganteri","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/2593.pdf"
"97",5008,"Malacostraca","Palaemonias ganteri","ReviewURLs","https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/3698.pdf"
"98",8148,"Branchiopoda","Streptocephalus woottoni","RecoveryPlanURLs","https://ecos.fws.gov/docs/recovery_plan/Vernal Pools of Southern California Clarification.pdf"
"99",9879,"Bivalvia","Obovaria subrotunda","SpeciesStatusAssessmentURLs","https://ecos.fws.gov/ServCat/DownloadFile/185478"
"100",7173,"Insecta","Hylaeus anthracinus","RecoveryPlanURLs","https://ecos.fws.gov/docs/recovery_plan/Hawaiian_Archipelago_Recovery_Plan_20221214.pdf"
