sentence,class
The U.S. Fish and Wildlife Service (Service) conducts status reviews of species on the List of Endangered and Threatened Wildlife and Plants (50 CFR 17.12) as required by section 4(c)(2)(A) of the Endangered Species Act (16 U.S.C. 1531 et seq.).,Non-target
"The Coffin Cave mold beetle (Coleoptera: Staphylinidae: Pselaphinae: Batrisodes texanus Chandler 1992) is one of 25 species in the subfamily Pselaphinae associated with caves in Texas (Chandler et al. 2009, p. 126).",Non-target
"Those researchers determined that the putative Coffin Cave mold beetle specimen from Coffin Cave instead belonged to a new species, B. cryptotexanus, the Dragonfly Cave mold beetle (Chandler and Reddell 2001, pp. 125-127).",Non-target
"These species occur primarily in the dark zone of caves, often in humid microhabitats (e.g., under rocks), and exhibit such troglomorphic traits (i.e., adaptations to subterranean environments) as absent or reduced eyes, elongated antennae and legs, and elongated sensory setae (i.e., hair-like structures) (Chandler 1992, pp. 241, 245, 247; Chandler and Reddell 2001, pp. 115, 123, 127; Chandler et al. 2009, p. 126).",Non-target
"Deposited organic matter provides a resource base for bacteria, fungi, and invertebrates that serve as prey for other invertebrates as well as vertebrates in caves (Barr 1968, pp. 53-60; Kane and Poulson 1976, pp. 799-800; Longley 1981, pp. 126-127; Howarth 1983, pp. 378-379; Ferreira et al. 2000, pp. 108-109).",Non-target
"The stressors that most influence Coffin Cave mold beetle viability are habitat destruction, degradation, and fragmentation that results from urban development.",Threat
Direct and collateral impacts to surface and subsurface habitat from urbanization have the potential to reduce Coffin Cave mold beetle population viability and the species’ long-term persistence.,Threat
"Williamson County has experienced rapid population growth and development, which has resulted in loss and degradation of surface and subsurface habitats and is an ongoing stressor for the species.",Threat
"Propose acknowledgement of taxonomic and distributional revisions of the Coffin Cave mold beetle to include a second species, the Dragonfly Cave mold beetle.",Recommendation
"Following submission, review needed information to potentially recognize Shaman Karst Preserve as a karst fauna area.",Recommendation
"Draft quantitative delisting criteria for the Coffin Cave mold beetle and other listed karst invertebrates in Travis and Williamson counties, Texas.",Recommendation
"Reassess the current karst fauna regions of Travis and Williamson counties, Texas using current data and revise regions as necessary to better inform recovery efforts.",Recommendation
"The recovery plan amendment included quantitative downlisting and delisting criteria for the San Bruno elfin butterfly (Service 2019, pp. 6–9); this amendment addresses the recommendation in the previous status review to develop measurable recovery criteria for the species (Service 2010, p. 29).",Non-target
"After reviewing the best available scientific information, we conclude that San Bruno elfin butterfly remains an endangered species.",Non-target
"Although the species distribution has remained consistent since listing, variability in survey protocols across sites and years makes it difficult to assess population trends, and information about areal extent of habitat is not available.",Recommendation
Develop an action plan relative to the updated recovery criteria and coordinate with partners regarding implementation. T,Recommendation
Investigate biology of San Bruno elfin butterflies to guide population estimates and monitoring protocols.,Recommendation
Coordinate among habitat managers and regulatory agencies to establish recommended San Bruno elfin butterfly monitoring protocols.,Recommendation
Search for larvae at additional documented stonecrop occurrences across the range to determine San Bruno elfin butterfly presence.,Recommendation
Coordinate with partners to develop a consistent monitoring protocol to document size and trends in host plant cover,Recommendation
"Additional information on site-specific monitoring, including survey methodology and abundance counts, is included in Appendix A.",Non-target
"Additional threats identified in the previous status review include: habitat loss due to succession; poaching; parasitism and predation of larvae; small population size; native and exotic plant invasions; and climate change (Service 2010, pp. 13–24). ",Threat
"Additional threats noted in the recovery plan amendment include: pesticide use; and, accidental damage to the habitat during population monitoring (Service 2019, p. 5).",Threat
Climate change may pose a threat to the larval host plant of this species.,Threat
"Since the 5-year review in 2012, no new information on the status of Drosophila aglaia has been collected.",Non-target
Survey and Inventory—Develop and implement a systematic Drosophila aglaia survey and monitoring plan that includes historic habitats and other suitable habitats on O?ahu.,Recommendation
Develop and implement a Recovery Plan.,Recommendation
"Protect, manage, and restore Drosophila aglaia habitat and Urera glabra habitat.",Recommendation
Evaluate the need to re-establish or supplement Urera glabra and wild picture-wing fly populations within their historical range.,Recommendation
Survey and document predator threats.,Recommendation
Construct and maintain fenced exclosures to protect all Drosophila aglaia life stages and host plant from the negative impacts of feral ungulates.,Recommendation
Monitor fenced areas to maintain absence of ungulates.,Recommendation
Climate change adaptation strategy—Research the suitability of habitat for reintroducing this species and its host plant in the future due to the impacts of climate change.,Recommendation
Conduct biological and ecological research on Drosophila aglaia,Recommendation
Conduct biological and ecological research on the host plant of Drosophila aglaia.,Recommendation
Develop and implement a public information program,Recommendation
"All extant populations are experiencing some degree of habitat alteration from invasive plant species, habitat succession, and flooding.",Threat
"Degradation, modification, and destruction of native lowland mesic ecosystem in the Wai?anae Mountains on O?ahu threaten the existence of Hylaeus kuakea.",Threat
"The factors that contribute to these detriments are introduced feral pigs (Sus scofa), invasive plants, fires, drought, hurricanes, and existing regulatory mechanisms.",Threat
"The ongoing and likely increasing effects of global climate change (such as increasing temperature and changing rainfall patterns) are also likely to directly or indirectly impact the habitat of native yellow-faced bee in general (USFWS 2016, p. 67815).",Threat
"Habitat destruction and modification by feral pigs leads to fragmentation of, and eventual loss of, foraging and nesting areas of Hylaeus kuakea.",Threat
Fire is a threat to Hylaeus kuakea because it destroys native plant communities and opens habitat for increased invasion by nonnative plants.,Threat
"Random, naturally occurring events such as hurricanes and drought can modify and destroy habitat of Hylaeus kuakea by creating disturbed areas conducive to invasion by nonnative plants, and eliminating food and nesting resources (Kitayama and Mueller- Dombois 1995, p. 671; Businger 1998, pp. 1–2; USFWS 2016, p. 67815).",Threat
The yellow-faced bee may be vulnerable to extinction due to anticipated environmental changes that may result from global climate change.,Threat
"As was stated in the Final Listing Rule we are not aware of any threats to the yellow-faced bee that are attributable to overutilization for commercial, recreational, scientific, or educational purposes (USFWS 2016, p. 67835).",Non-target
"This species may experience reduced reproductive vigor due to inbreeding depression; it may experience reduced levels of genetic variability, leading to diminished capacity to adapt and respond to environmental changes, thereby lessening the probability of long-term persistence; a single catastrophic event (e.g., hurricane, drought, fire) may result in extirpation of remaining individuals and extinction of this species; and species with few known locations are less resilient to threats that might otherwise have a relatively minor impact on widely distributed species (USFWS 2016, p. 67850).",Threat
Ants and western yellow jacket wasps pose threats to yellow-faced bee.,Threat
"Yellow-faced bee individuals were last observed in 2014 in the Waianae Valley. The species appears to have low representation, resiliency, and redundancy.",Threat
"Current threats to Hylaeus kuakea include the degradation, modification, and destruction of native lowland mesic ecosystem by introduced feral pigs, invasive plants, fires, drought, and hurricanes in the Wai?anae Mountains on O?ahu where the yellow-faced bee inhabit, predation by nonnative invertebrate species (ants and western yellow jacket wasps), existing regulatory mechanisms, limited number of individuals, competition for resources with other nonnative invertebrates, and the ongoing and likely increasing effects of global climate change (such as increasing temperature and changing rainfall patterns).",Threat
Conduct targeted surveys for Hylaeus kuakea to determine the distribution of the species.,Recommendation
"Based on survey results, stabilize and protect extant populations of Hylaeus kuakea and develop and implement a recovery plan.",Recommendation
Identify the primary habitat features and characteristics necessary for Hylaeus kuakea recovery.,Recommendation
Identify and evaluate the primary biological characteristics necessary for Hylaeus kuakea recovery.,Recommendation
Maintain and protect the habitat of Hylaeus kuakea.,Recommendation
"Survey, document, and manage threats to Hylaeus kuakea",Recommendation
Eliminate or manage nonnative predators of Hylaeus kuakea.,Recommendation
"Does the species have a final, approved recovery plan containing objective, measurable criteria?",Non-target
Do the recovery criteria reflect the best available and most upto date information on the biology of the species and its habitat?,Non-target
"Recovery outline for the island of O?ahu. U.S. Fish and Wildlife Service, Pacific Islands Fish and Wildlife Office, Honolulu, Hawai?i. 42 pp",Non-target
[USFWS] U.S. Fish and Wildlife Service. 2016. Endangered and threatened wildlife and plants; endangered status for 49 species from the Hawaiian Islands. Federal Register 81 (190): 67786-67860.,Non-target
"In accordance with section 4(c)(2) of the Endangered Species Act of 1973, as amended (Act), the purpose of a status review is to assess each threatened species or endangered species to determine whether its status has changed and if it should be classified differently or removed from the Lists of Threatened and Endangered Wildlife and Plants. T",Non-target
This status review was conducted by Minnesota-Wisconsin Ecological Services Field Office biologists with input and review from cooperating field offices.,Non-target
"The review contains new information since the species status assessment was developed in 2016 (USFWS 2016), which informed the listing decision in 2017 (82 FR 3186).",Non-target
"The primary threats to the species are pathogens, negative genetic effects of small populations, the effects of climate change, pesticides, and habitat degradation or loss (USFWS 2016).",Threat
Increase knowledge of disease (harmful pathogens and parasites) prevalence. Conduct pathogen sampling in occupied habitats within a proportion of grids.,Recommendation
Continue work on improving monitoring protocols and data reporting.,Recommendation
Annually conduct rusty patched bumble bee habitat assessments in a proportion of occupied grids and priority unoccupied grids,Recommendation
Determine baseline genetic information from a subset of existing populations.,Recommendation
Continue to engage the public in rusty patched bumble bee conservation.,Recommendation
"The primary threats to the rusty patched bumble bee are a combination of harmful pathogens, small population size, the effects of climate change, pesticides, and habitat degradation (USFWS 2016).",Threat
The species’ status was considered in the 1994 Recovery Plan (Service 1994).,Non-target
"Population monitoring transects are installed at Mt. Uncompahgre, Redcloud Peak, and Colony C.",Non-target
"In terms of threats, actual or potential factors listed in the final listing rule (56 FR 28712, June 24,1991) and the Recovery Plan include trampling of the UFB and its habitat by humans and livestock, collecting, lack of regulatory mechanisms, adverse climatic changes, small population size, and low genetic variability.",Threat
"The only observable current threats are caused by relatively minor habitat degradation from hiking trails on the edge of colonies at Mt. Uncompahgre and Redcloud Peak, and short-term impacts from rapid sheep trailing/grazing through Mt. Uncompahgre.",Threat
"In conclusion, climate change and its resulting influence on the topographical extent of habitat and habitat isolation as well as population size and genetic variability could affect recovery of the UFB, but empirical evidence to date has not detected any effects to the UFB’s continued existence.",Threat
Retain the USFS and BLM butterfly collecting closures around Mt. Uncompahgre and Redcloud Peak and place closures around other colonies or issue collecting on a permit-only basis to control collection of the UFB after delisting.,Recommendation
Discuss whether development of a monitoring scheme is necessary to quantitatively monitor populations at the eight sites that have not received quantitative monitoring to date.,Recommendation
Continue quantitative population monitoring to improve trend analyses and support decisions on eventual delisting.,Recommendation
"Conduct genetic analyses and literature review to determine if gene flow between colonies is, or will, pose a threat to the UFB.",Recommendation
Revise recovery criteria and recovery actions if necessary to address the current status and threats to the UFB as genetic information is analyzed and more information on climate change impacts is available.,Recommendation
Information from other documents and verbal communication is also included to support this review.,Non-target
"Most hikers stay on the trail, but some hikers and their dogs cross UFB habitat increasing potential for mortality or habitat impacts.",Threat
"Without substantial measures to ameliorate impacts, climate is expected to continue changing into the future and may pose increasing threats to the UFB.",Threat
"Enhance existing and potential habitat throughout the species range, as necessary, through removal of invasive species, grazing, burning, planting, or other management actions deemed appropriate by the Service.",Recommendation
Investigate and implement a captive propagation program for the species to bolster existing populations and to introduce the species to suitable breeding habitats.,Recommendation
Investigate and implement the translocation of individuals between populations to ensure genetic diversity.,Recommendation
"At time of listing in 2001, destruction and degradation of habitat were identified as the primary threats to the Ohlone tiger beetle.",Threat
"Other threats identified at time of listing were unrestricted collecting, predation and parasitism, inadequacy of existing regulatory mechanisms, stochastic events, recreational activities, and use of pesticides.",Threat
"In particular, habitat degradation due to encroachment by nonnative plants was found to be a much more serious threat than in 2001.",Threat
The evaluation of threats affecting the species under the factors in 4(a)(1) of the Act and analysis of the status of the species in our most recent 5-Year Review (Service 2009) remain an accurate reflection of the species current status.,Non-target
This 5-year review was conducted by the U.S. Fish and Wildlife Service’s (Service) Ventura Fish and Wildlife Office.,Non-target
"We also contacted State and local agencies, partners, stakeholders, and species experts to request any data or information we should consider in our review.",Non-target
We received information from the public regarding the delta green ground beetle in response to the notice.,Non-target
"Data for this review were solicited from interested parties through a Federal Register notice announcing this review on January 27, 2020, and we received information about the species in response to the notice.",Non-target
The delta green ground beetle (beetle) is a member of the ground beetle family (Carabidae) in the order Coleoptera,Non-target
"At the time of listing, the primary threats to the delta green ground beetle were small population size, limited range, and the elimination or modification of vernal pools due to agricultural development (Service 1980, p. 52809).",Threat
"After reviewing the best available scientific information, we conclude that the delta green ground beetle remains a threatened species",Non-target
Continue to protect and manage suitable vernal pool and upland habitat for the delta green ground beetle.,Recommendation
Research and adaptively manage the grazing regime within each parcel to benefit delta green ground beetle.,Recommendation
Provide alternative water sources for livestock. B,Recommendation
Start captive breeding research with programs that may lead to reintroductions of the delta green ground beetle into unoccupied suitable habitat.,Recommendation
Conduct research on life history traits of the delta green ground beetle.,Recommendation
Adult female Miami tiger beetles select the habitat and microhabitat of larva by selecting an egg-laying site in sandy habitat (Knisley and Schultz 1997).,Non-target
"As discussed in the listing rule (Service 2016a), the Miami tiger beetle continues to be threatened by habitat loss and modification caused by development, changes in land use, and inadequate land management, including the lack of prescribed burns and vegetation (native and nonnative) encroachment.",Threat
"Habitat loss, degradation, and fragmentation of this ecosystem have significantly reduced the range of the species, leaving just two known discontinuous populations remaining.",Threat
"Work with partners to secure funding and implement prescribed fire and vegetation management at occupied and potentially suitable Miami tiger beetle sites, with priority for critical habitat units.",Recommendation
"Conduct surveys for additional populations of Miami tiger beetles at all potentially suitable pine rockland sites throughout the Miami Rock Ridge and evaluate sites for suitability in translocation trials, with priority for critical habitat units.",Recommendation
"Routinely monitor, preferably monthly, population sizes and distribution to assess status and trends of the species.",Recommendation
Complete a species status assessment and recovery plan for the Miami tiger beetl,Recommendation
"Due to the restricted range, small population size, few populations, and relative isolation, collection is a significant threat and could potentially occur at any time.",Threat
The evaluation of threats affecting the species under the factors in 4(a)(1) of the Act and analysis of the status of the species in our listing determination (50 FR 20777) remains an accurate reflection of the species current status.,Non-target
The 1990 Recovery Plan should be updated using the most recent and best scientific and management information available including and applying information from restoration and surveys.,Recommendation
"Collaborate with the Ash Meadows NWR to implement the Desert National Wildlife Refuge Complex – Ash Meadows, Desert, Moapa Valley, and Pahranagat National Wildlife Refuges Final Comprehensive Conservation Plan and Environmental Impact Statement, Volume I – August 2009 (Service 2009) and also the Draft Ash Meadows Natural Resource Management Plan in review (Service 2020).",Recommendation
"Monitor compliance with the January 12, 2018 Nevada Revised Statute Order 1197A, Curtailment of New Appropriations of Groundwater within the Amargosa Valley Hydrographic Basin 230, to ensure groundwater levels in Devils Hole can support the population. Order 1197 is no longer in effect.",Recommendation
Support Ash Meadows naucorid research at the Ash Meadows NWR to monitor the population as identified in the Recovery Plan for the Endangered and Threatened Species of Ash Meadows (Service 1990).,Recommendation
Ungulates and non-native plant species continue to be a threat to the wet and mesic forests. habitat of the Achatinella species.,Threat
"Rapid ??hi?a Death (ROD) is a new threat to A. sowerbyana, A. lila, and other species that utilize M. polymorpha or ??hi?a trees. ?",Threat
"Preliminary climate change analysis indicates a severe reduction in habitat for the genus Achatinella in the future (2050 and 2100) and is related to a decrease in precipitation (USFWS 2019, pp. 2-3; A. Vorsino 2019, pers. comm.).",Threat
Rats continue to threaten Achatinella sp. populations.,Threat
Assessing the systematics of Achatinellidae and relationships within all Hawaiian subfamilies include the Achatinellinae.,Recommendation
"Research on snail diseases as this can have a large impact in captive rearing (D. Sischo 2019, pers. comm.).",Recommendation
Identify locations in both the Wai?anae and Ko?olau Mountain Ranges that may sustain populations of Achatinella spp. within their historical ranges as weather patterns change,Recommendation
Study microbial habitats specific to Achatinella spp. where snails are still present in the wild.,Recommendation
"Identify the geographic distribution and population density of Jackson’s chameleons in the Wai?anae and Ko?olau Mountain Ranges with particular interest in areas where there are wild populations of Achatinella or within habitats similar to where snails are known from (Kraus et al. 2012, p. 590; Chiaverano and Holland 2014, p. 121).",Recommendation
"This review was conducted by staff of the Pacific Islands Fish and Wildlife Office of the U.S. Fish and Wildlife Service (USFWS), beginning on August 7, 2009.",Non-target
There is no new information on the biology and life history of Achatinella abbreviata.,Non-target
"Achatinella abbreviata is threatened by predation from the rosy wolf snail (Euglandina rosea) and rats (Rattus exulans, Rattus rattus, and Rattus norvegicus) (USFWS 1992; Hadfield et al. 1993; Hadfield and Saufler 2009).",Threat
The Jackson’s chameleon (Chamaeleo jacksonii) has recently been documented as a predator of Achatinella spp. and may pose a major threat to their existence.,Threat
Identify the actions to take when Achatinella abbreviata is found in the wild,Recommendation
